Year,Location,Escapement (weir),Escapement (tower),Escapement (mark/recapture),Escapement (sonar),Age,Harvest,Region,Aerial Survey
1982,Kogrukluk,1,0,0,0,1,0,Kuskokwim,0
1983,Kogrukluk,0,0,0,0,1,0,Kuskokwim,1
1984,Kogrukluk,1,0,0,0,1,0,Kuskokwim,0
1985,Kogrukluk,1,0,0,0,1,0,Kuskokwim,0
1986,Kogrukluk,0,0,0,0,1,0,Kuskokwim,0
1987,Kogrukluk,1,0,0,0,1,0,Kuskokwim,1
1988,Kogrukluk,1,0,0,0,1,0,Kuskokwim,1
1989,Kogrukluk,0,0,0,0,1,0,Kuskokwim,0
1990,Kogrukluk,1,0,0,0,1,0,Kuskokwim,0
1991,Kogrukluk,1,0,0,0,1,0,Kuskokwim,0
1992,Kogrukluk,1,0,0,0,1,0,Kuskokwim,0
1993,Kogrukluk,1,0,0,0,1,0,Kuskokwim,0
1994,Kogrukluk,0,0,0,0,1,0,Kuskokwim,0
1995,Kogrukluk,1,0,0,0,1,0,Kuskokwim,0
1996,Kogrukluk,1,0,0,0,1,0,Kuskokwim,0
1997,Kogrukluk,1,0,0,0,1,0,Kuskokwim,0
1998,Kogrukluk,0,0,0,0,1,0,Kuskokwim,0
1999,Kogrukluk,1,0,0,0,1,0,Kuskokwim,0
2000,Kogrukluk,1,0,0,0,1,0,Kuskokwim,0
2001,Kogrukluk,1,0,0,0,1,0,Kuskokwim,0
2002,Kogrukluk,1,0,0,0,1,0,Kuskokwim,1
2003,Kogrukluk,1,0,0,0,1,0,Kuskokwim,1
2004,Kogrukluk,1,0,0,0,1,0,Kuskokwim,1
2005,Kogrukluk,1,0,0,0,1,0,Kuskokwim,1
2006,Kogrukluk,1,0,0,0,1,0,Kuskokwim,1
2007,Kogrukluk,0,0,0,0,1,0,Kuskokwim,1
2008,Kogrukluk,1,0,0,0,1,0,Kuskokwim,1
2009,Kogrukluk,1,0,0,0,1,0,Kuskokwim,1
2010,Kogrukluk,1,0,0,0,1,0,Kuskokwim,0
2011,Kogrukluk,1,0,0,0,1,0,Kuskokwim,0
2012,Kogrukluk,1,0,0,0,1,0,Kuskokwim,0
2013,Kogrukluk,1,0,0,0,1,0,Kuskokwim,0
2014,Kogrukluk,1,0,0,0,1,0,Kuskokwim,0
2015,Kogrukluk,1,0,0,0,1,0,Kuskokwim,0
2016,Kogrukluk,1,0,0,0,1,0,Kuskokwim,0
2017,Kogrukluk,1,0,0,0,1,0,Kuskokwim,0
2018,Kogrukluk,1,0,0,0,1,0,Kuskokwim,0
2019,Kogrukluk,1,0,0,0,1,0,Kuskokwim,0
2020,Kogrukluk,1,0,0,0,1,0,Kuskokwim,0
1969,Kanektok,0,0,0,0,0,0,Kuskokwim,1
1970,Kanektok,0,0,0,0,0,0,Kuskokwim,1
1971,Kanektok,0,0,0,0,0,0,Kuskokwim,0
1972,Kanektok,0,0,0,0,0,0,Kuskokwim,1
1973,Kanektok,0,0,0,0,0,0,Kuskokwim,1
1974,Kanektok,0,0,0,0,0,0,Kuskokwim,1
1975,Kanektok,0,0,0,0,0,0,Kuskokwim,1
1976,Kanektok,0,0,0,0,0,0,Kuskokwim,1
1977,Kanektok,0,0,0,0,0,0,Kuskokwim,1
1978,Kanektok,0,0,0,0,0,0,Kuskokwim,1
1979,Kanektok,0,0,0,0,0,0,Kuskokwim,1
1980,Kanektok,0,0,0,0,0,0,Kuskokwim,1
1981,Kanektok,0,0,0,0,0,0,Kuskokwim,1
1982,Kanektok,1,0,0,1,0,0,Kuskokwim,1
1983,Kanektok,1,0,0,1,0,0,Kuskokwim,1
1984,Kanektok,1,0,0,1,1,0,Kuskokwim,1
1985,Kanektok,1,0,0,1,1,0,Kuskokwim,1
1986,Kanektok,1,0,0,1,1,0,Kuskokwim,1
1987,Kanektok,1,0,0,1,1,0,Kuskokwim,1
1988,Kanektok,0,0,0,0,0,0,Kuskokwim,1
1989,Kanektok,0,0,0,0,0,0,Kuskokwim,1
1990,Kanektok,0,0,0,0,0,0,Kuskokwim,1
1991,Kanektok,0,0,0,0,0,0,Kuskokwim,1
1992,Kanektok,0,0,0,0,0,0,Kuskokwim,1
1993,Kanektok,0,0,0,0,0,0,Kuskokwim,1
1994,Kanektok,0,0,0,0,0,0,Kuskokwim,1
1995,Kanektok,0,0,0,0,0,0,Kuskokwim,1
1996,Kanektok,0,1,0,0,0,0,Kuskokwim,1
1997,Kanektok,0,1,0,0,1,0,Kuskokwim,1
1998,Kanektok,0,1,0,0,1,0,Kuskokwim,1
1999,Kanektok,0,0,0,0,0,0,Kuskokwim,1
2000,Kanektok,0,0,0,0,0,0,Kuskokwim,1
2001,Kanektok,1,0,0,0,1,0,Kuskokwim,1
2002,Kanektok,1,0,0,0,1,0,Kuskokwim,0
2003,Kanektok,1,0,0,0,1,0,Kuskokwim,1
2004,Kanektok,1,0,0,0,1,0,Kuskokwim,1
2005,Kanektok,1,0,0,0,1,0,Kuskokwim,1
2006,Kanektok,1,0,0,0,1,0,Kuskokwim,1
2007,Kanektok,1,0,0,0,1,0,Kuskokwim,1
2008,Kanektok,1,0,0,0,1,0,Kuskokwim,1
2009,Kanektok,1,0,0,0,1,0,Kuskokwim,1
2010,Kanektok,1,0,0,0,1,0,Kuskokwim,1
2011,Kanektok,1,0,0,0,1,0,Kuskokwim,0
2012,Kanektok,1,0,0,0,1,0,Kuskokwim,1
2013,Kanektok,1,0,0,0,1,0,Kuskokwim,1
2014,Kanektok,1,0,0,0,1,0,Kuskokwim,1
2015,Kanektok,1,0,0,0,1,0,Kuskokwim,1
2016,Kanektok,1,0,0,0,1,0,Kuskokwim,1
2017,Kanektok,0,0,0,0,0,0,Kuskokwim,0
2018,Kanektok,0,0,0,0,0,0,Kuskokwim,1
2019,Kanektok,0,0,0,0,0,0,Kuskokwim,1
2020,Kanektok,0,0,0,0,0,0,Kuskokwim,0
1969,Kwethluk,0,0,0,0,0,0,Kuskokwim,0
1970,Kwethluk,0,0,0,0,0,0,Kuskokwim,0
1971,Kwethluk,0,0,0,0,0,0,Kuskokwim,0
1972,Kwethluk,0,0,0,0,0,0,Kuskokwim,1
1973,Kwethluk,0,0,0,0,0,0,Kuskokwim,0
1974,Kwethluk,0,0,0,0,0,0,Kuskokwim,1
1975,Kwethluk,0,0,0,0,0,0,Kuskokwim,1
1976,Kwethluk,0,0,0,0,0,0,Kuskokwim,1
1977,Kwethluk,0,0,0,0,0,0,Kuskokwim,1
1978,Kwethluk,0,0,0,0,0,0,Kuskokwim,1
1979,Kwethluk,0,0,0,0,0,0,Kuskokwim,1
1980,Kwethluk,0,0,0,0,0,0,Kuskokwim,0
1981,Kwethluk,0,0,0,0,0,0,Kuskokwim,1
1982,Kwethluk,0,0,0,0,0,0,Kuskokwim,0
1983,Kwethluk,0,0,0,0,0,0,Kuskokwim,1
1984,Kwethluk,0,0,0,0,0,0,Kuskokwim,1
1985,Kwethluk,0,0,0,0,0,0,Kuskokwim,1
1986,Kwethluk,0,0,0,0,0,0,Kuskokwim,0
1987,Kwethluk,0,0,0,0,0,0,Kuskokwim,0
1988,Kwethluk,0,0,0,0,0,0,Kuskokwim,1
1989,Kwethluk,0,0,0,0,0,0,Kuskokwim,1
1990,Kwethluk,0,0,0,0,0,0,Kuskokwim,1
1991,Kwethluk,0,0,0,0,0,0,Kuskokwim,1
1992,Kwethluk,1,0,0,0,1,0,Kuskokwim,0
1993,Kwethluk,0,0,0,0,0,0,Kuskokwim,1
1994,Kwethluk,0,0,0,0,0,0,Kuskokwim,1
1995,Kwethluk,0,0,0,0,0,0,Kuskokwim,0
1996,Kwethluk,0,1,0,0,0,0,Kuskokwim,1
1997,Kwethluk,0,1,0,0,1,0,Kuskokwim,0
1998,Kwethluk,0,1,0,0,0,0,Kuskokwim,1
1999,Kwethluk,0,1,0,0,0,0,Kuskokwim,0
2000,Kwethluk,1,0,0,0,1,0,Kuskokwim,0
2001,Kwethluk,1,0,0,0,1,0,Kuskokwim,1
2002,Kwethluk,1,0,0,0,1,0,Kuskokwim,1
2003,Kwethluk,1,0,0,0,1,0,Kuskokwim,1
2004,Kwethluk,1,0,0,0,1,0,Kuskokwim,1
2005,Kwethluk,0,0,0,0,0,0,Kuskokwim,1
2006,Kwethluk,1,0,0,0,1,0,Kuskokwim,0
2007,Kwethluk,1,0,0,0,1,0,Kuskokwim,1
2008,Kwethluk,1,0,0,0,1,0,Kuskokwim,1
2009,Kwethluk,1,0,0,0,1,0,Kuskokwim,0
2010,Kwethluk,1,0,0,0,1,0,Kuskokwim,1
2011,Kwethluk,1,0,0,0,1,0,Kuskokwim,0
2012,Kwethluk,1,0,0,0,1,0,Kuskokwim,0
2013,Kwethluk,1,0,0,0,1,0,Kuskokwim,1
2014,Kwethluk,1,0,0,0,1,0,Kuskokwim,0
2015,Kwethluk,1,0,0,0,1,0,Kuskokwim,0
2016,Kwethluk,1,0,0,0,1,0,Kuskokwim,0
2017,Kwethluk,1,0,0,0,1,0,Kuskokwim,0
2018,Kwethluk,1,0,0,0,1,0,Kuskokwim,0
2019,Kwethluk,1,0,0,0,1,0,Kuskokwim,0
2020,Kwethluk,1,0,0,0,1,0,Kuskokwim,1
1969,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,0
1970,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
1971,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,0
1972,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,0
1973,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
1974,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
1975,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
1976,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
1977,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
1978,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
1979,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,0
1980,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
1981,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
1982,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
1983,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
1984,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
1985,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,0
1986,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
1987,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
1988,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
1989,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
1990,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
1991,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
1992,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
1993,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
1994,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
1995,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
1996,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
1997,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
1998,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
1999,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,0
2000,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
2001,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
2002,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
2003,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
2004,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
2005,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
2006,Salmon River (Aniak) ,1,0,0,0,1,0,Kuskokwim,1
2007,Salmon River (Aniak) ,1,0,0,0,1,0,Kuskokwim,1
2008,Salmon River (Aniak) ,1,0,0,0,1,0,Kuskokwim,1
2009,Salmon River (Aniak) ,1,0,0,0,1,0,Kuskokwim,0
2010,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,0
2011,Salmon River (Aniak) ,0,0,0,0,0,0,Kuskokwim,1
2012,Salmon River (Aniak) ,0,0,0,0,1,0,Kuskokwim,1
2013,Salmon River (Aniak) ,1,0,0,0,1,0,Kuskokwim,1
2014,Salmon River (Aniak) ,1,0,0,0,1,0,Kuskokwim,1
2015,Salmon River (Aniak) ,1,0,0,0,1,0,Kuskokwim,1
2016,Salmon River (Aniak) ,1,0,0,0,1,0,Kuskokwim,0
2017,Salmon River (Aniak) ,1,0,0,0,1,0,Kuskokwim,1
2018,Salmon River (Aniak) ,1,0,0,0,1,0,Kuskokwim,1
2019,Salmon River (Aniak) ,1,0,0,0,1,0,Kuskokwim,1
2020,Salmon River (Aniak) ,1,0,0,0,1,0,Kuskokwim,1
1969,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,0
1970,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,0
1971,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,0
1972,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,0
1973,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,0
1974,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,0
1975,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
1976,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
1977,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
1978,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
1979,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
1980,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
1981,Salmon River (Pitka Fork),1,0,0,0,1,0,Kuskokwim,1
1982,Salmon River (Pitka Fork),1,0,0,0,1,0,Kuskokwim,1
1983,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
1984,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
1985,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
1986,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,0
1987,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
1988,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
1989,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
1990,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,0
1991,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,0
1992,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
1993,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
1994,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
1995,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
1996,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,0
1997,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
1998,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,0
1999,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,0
2000,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
2001,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
2002,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
2003,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
2004,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
2005,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
2006,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
2007,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
2008,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
2009,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
2010,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
2011,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
2012,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
2013,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
2014,Salmon River (Pitka Fork),0,0,0,0,0,0,Kuskokwim,1
2015,Salmon River (Pitka Fork),1,0,0,0,1,0,Kuskokwim,1
2016,Salmon River (Pitka Fork),1,0,0,0,1,0,Kuskokwim,1
2017,Salmon River (Pitka Fork),1,0,0,0,1,0,Kuskokwim,1
2018,Salmon River (Pitka Fork),1,0,0,0,1,0,Kuskokwim,1
2019,Salmon River (Pitka Fork),1,0,0,0,1,0,Kuskokwim,1
2020,Salmon River (Pitka Fork),1,0,0,0,1,0,Kuskokwim,1
1969,Takotna River,0,0,0,0,0,0,Kuskokwim,0
1970,Takotna River,0,0,0,0,0,0,Kuskokwim,0
1971,Takotna River,0,0,0,0,0,0,Kuskokwim,0
1972,Takotna River,0,0,0,0,0,0,Kuskokwim,0
1973,Takotna River,0,0,0,0,0,0,Kuskokwim,0
1974,Takotna River,0,0,0,0,0,0,Kuskokwim,0
1975,Takotna River,0,0,0,0,0,0,Kuskokwim,0
1976,Takotna River,0,0,0,0,0,0,Kuskokwim,1
1977,Takotna River,0,0,0,0,0,0,Kuskokwim,0
1978,Takotna River,0,0,0,0,0,0,Kuskokwim,0
1979,Takotna River,0,0,0,0,0,0,Kuskokwim,0
1980,Takotna River,0,0,0,0,0,0,Kuskokwim,0
1981,Takotna River,0,0,0,0,0,0,Kuskokwim,0
1982,Takotna River,0,0,0,0,0,0,Kuskokwim,0
1983,Takotna River,0,0,0,0,0,0,Kuskokwim,0
1984,Takotna River,0,0,0,0,0,0,Kuskokwim,0
1985,Takotna River,0,0,0,0,0,0,Kuskokwim,0
1986,Takotna River,0,0,0,0,0,0,Kuskokwim,0
1987,Takotna River,0,0,0,0,0,0,Kuskokwim,1
1988,Takotna River,0,0,0,0,0,0,Kuskokwim,0
1989,Takotna River,0,0,0,0,0,0,Kuskokwim,1
1990,Takotna River,0,0,0,0,0,0,Kuskokwim,0
1991,Takotna River,0,0,0,0,0,0,Kuskokwim,0
1992,Takotna River,0,0,0,0,0,0,Kuskokwim,0
1993,Takotna River,0,0,0,0,0,0,Kuskokwim,0
1994,Takotna River,0,0,0,0,0,0,Kuskokwim,0
1995,Takotna River,0,1,0,0,0,0,Kuskokwim,0
1996,Takotna River,0,1,0,0,0,0,Kuskokwim,0
1997,Takotna River,0,1,0,0,0,0,Kuskokwim,0
1998,Takotna River,0,0,0,0,0,0,Kuskokwim,0
1999,Takotna River,0,1,0,0,0,0,Kuskokwim,0
2000,Takotna River,1,0,0,0,1,0,Kuskokwim,1
2001,Takotna River,1,0,0,0,1,0,Kuskokwim,1
2002,Takotna River,1,0,0,0,1,0,Kuskokwim,1
2003,Takotna River,1,0,0,0,1,0,Kuskokwim,0
2004,Takotna River,1,0,0,0,1,0,Kuskokwim,0
2005,Takotna River,1,0,0,0,1,0,Kuskokwim,0
2006,Takotna River,1,0,0,0,1,0,Kuskokwim,0
2007,Takotna River,1,0,0,0,1,0,Kuskokwim,0
2008,Takotna River,1,0,0,0,1,0,Kuskokwim,0
2009,Takotna River,1,0,0,0,1,0,Kuskokwim,0
2010,Takotna River,1,0,0,0,1,0,Kuskokwim,0
2011,Takotna River,1,0,0,0,1,0,Kuskokwim,0
2012,Takotna River,1,0,0,0,1,0,Kuskokwim,0
2013,Takotna River,1,0,0,0,1,0,Kuskokwim,0
