Year,Location,Escapement (weir),Escapement (tower),Escapement (mark/recapture),Escapement (sonar),Age,Harvest,Region,Aerial Survey
1969,George River,0,0,0,0,0,0,Kuskokwim,0
1970,George River,0,0,0,0,0,0,Kuskokwim,0
1971,George River,0,0,0,0,0,0,Kuskokwim,0
1972,George River,0,0,0,0,0,0,Kuskokwim,0
1973,George River,0,0,0,0,0,0,Kuskokwim,0
1974,George River,0,0,0,0,0,0,Kuskokwim,0
1975,George River,0,0,0,0,0,0,Kuskokwim,1
1976,George River,0,0,0,0,0,0,Kuskokwim,1
1977,George River,0,0,0,0,0,0,Kuskokwim,0
1978,George River,0,0,0,0,0,0,Kuskokwim,0
1979,George River,0,0,0,0,0,0,Kuskokwim,0
1980,George River,0,0,0,0,0,0,Kuskokwim,0
1981,George River,0,0,0,0,0,0,Kuskokwim,0
1982,George River,0,0,0,0,0,0,Kuskokwim,0
1983,George River,0,0,0,0,0,0,Kuskokwim,0
1984,George River,0,0,0,0,0,0,Kuskokwim,0
1985,George River,0,0,0,0,0,0,Kuskokwim,0
1986,George River,0,0,0,0,0,0,Kuskokwim,0
1987,George River,0,0,0,0,0,0,Kuskokwim,0
1988,George River,0,0,0,0,0,0,Kuskokwim,0
1989,George River,0,0,0,0,0,0,Kuskokwim,0
1990,George River,0,0,0,0,0,0,Kuskokwim,0
1991,George River,0,0,0,0,0,0,Kuskokwim,0
1992,George River,0,0,0,0,0,0,Kuskokwim,0
1993,George River,0,0,0,0,0,0,Kuskokwim,1
1994,George River,0,0,0,0,0,0,Kuskokwim,0
1995,George River,0,0,0,0,0,0,Kuskokwim,1
1996,George River,1,0,0,0,1,0,Kuskokwim,0
1997,George River,1,0,0,0,1,0,Kuskokwim,0
1998,George River,0,0,0,0,1,0,Kuskokwim,0
1999,George River,0,0,0,0,1,0,Kuskokwim,0
2000,George River,1,0,0,0,1,0,Kuskokwim,0
2001,George River,1,0,0,0,1,0,Kuskokwim,1
2002,George River,1,0,0,0,1,0,Kuskokwim,1
2003,George River,0,0,0,0,1,0,Kuskokwim,0
2004,George River,1,0,0,0,1,0,Kuskokwim,1
2005,George River,1,0,0,0,1,0,Kuskokwim,1
2006,George River,1,0,0,0,1,0,Kuskokwim,1
2007,George River,1,0,0,0,1,0,Kuskokwim,0
2008,George River,1,0,0,0,1,0,Kuskokwim,1
2009,George River,1,0,0,0,1,0,Kuskokwim,1
2010,George River,1,0,0,0,1,0,Kuskokwim,0
2011,George River,1,0,0,0,1,0,Kuskokwim,0
2012,George River,1,0,0,0,1,0,Kuskokwim,0
2013,George River,1,0,0,0,1,0,Kuskokwim,0
2014,George River,1,0,0,0,1,0,Kuskokwim,0
2015,George River,1,0,0,0,1,0,Kuskokwim,0
2016,George River,1,0,0,0,1,0,Kuskokwim,0
2017,George River,1,0,0,0,1,0,Kuskokwim,0
2018,George River,1,0,0,0,1,0,Kuskokwim,0
2019,George River,1,0,0,0,1,0,Kuskokwim,0
2020,George River,1,0,0,0,1,0,Kuskokwim,0
1969,Goodnews River (Middle Fork),0,0,0,0,0,0,Kuskokwim,1
1970,Goodnews River (Middle Fork),0,0,0,0,0,0,Kuskokwim,1
1971,Goodnews River (Middle Fork),0,0,0,0,0,0,Kuskokwim,0
1972,Goodnews River (Middle Fork),0,0,0,0,0,0,Kuskokwim,0
1973,Goodnews River (Middle Fork),0,0,0,0,0,0,Kuskokwim,0
1974,Goodnews River (Middle Fork),0,0,0,0,0,0,Kuskokwim,0
1975,Goodnews River (Middle Fork),0,0,0,0,0,0,Kuskokwim,1
1976,Goodnews River (Middle Fork),0,0,0,0,0,0,Kuskokwim,1
1977,Goodnews River (Middle Fork),0,0,0,0,0,0,Kuskokwim,1
1978,Goodnews River (Middle Fork),0,0,0,0,0,0,Kuskokwim,0
1979,Goodnews River (Middle Fork),0,0,0,0,0,0,Kuskokwim,1
1980,Goodnews River (Middle Fork),0,0,0,0,0,0,Kuskokwim,1
1981,Goodnews River (Middle Fork),0,1,0,0,0,0,Kuskokwim,0
1982,Goodnews River (Middle Fork),0,1,0,0,0,0,Kuskokwim,1
1983,Goodnews River (Middle Fork),0,1,0,0,0,0,Kuskokwim,1
1984,Goodnews River (Middle Fork),0,1,0,0,0,0,Kuskokwim,1
1985,Goodnews River (Middle Fork),0,1,0,0,1,0,Kuskokwim,1
1986,Goodnews River (Middle Fork),0,1,0,0,1,0,Kuskokwim,1
1987,Goodnews River (Middle Fork),0,1,0,0,1,0,Kuskokwim,1
1988,Goodnews River (Middle Fork),0,1,0,0,1,0,Kuskokwim,1
1989,Goodnews River (Middle Fork),0,1,0,0,1,0,Kuskokwim,1
1990,Goodnews River (Middle Fork),0,1,0,0,1,0,Kuskokwim,1
1991,Goodnews River (Middle Fork),1,0,0,0,1,0,Kuskokwim,0
1992,Goodnews River (Middle Fork),1,0,0,0,1,0,Kuskokwim,1
1993,Goodnews River (Middle Fork),1,0,0,0,1,0,Kuskokwim,1
1994,Goodnews River (Middle Fork),1,0,0,0,1,0,Kuskokwim,0
1995,Goodnews River (Middle Fork),1,0,0,0,1,0,Kuskokwim,0
1996,Goodnews River (Middle Fork),1,0,0,0,1,0,Kuskokwim,0
1997,Goodnews River (Middle Fork),1,0,0,0,1,0,Kuskokwim,1
1998,Goodnews River (Middle Fork),1,0,0,0,1,0,Kuskokwim,1
1999,Goodnews River (Middle Fork),1,0,0,0,1,0,Kuskokwim,0
2000,Goodnews River (Middle Fork),1,0,0,0,1,0,Kuskokwim,0
2001,Goodnews River (Middle Fork),1,0,0,0,1,0,Kuskokwim,1
2002,Goodnews River (Middle Fork),1,0,0,0,1,0,Kuskokwim,1
2003,Goodnews River (Middle Fork),1,0,0,0,1,0,Kuskokwim,1
2004,Goodnews River (Middle Fork),1,0,0,0,1,0,Kuskokwim,1
2005,Goodnews River (Middle Fork),1,0,0,0,1,0,Kuskokwim,0
2006,Goodnews River (Middle Fork),1,0,0,0,1,0,Kuskokwim,0
2007,Goodnews River (Middle Fork),1,0,0,0,1,0,Kuskokwim,0
2008,Goodnews River (Middle Fork),1,0,0,0,1,0,Kuskokwim,1
2009,Goodnews River (Middle Fork),1,0,0,0,1,0,Kuskokwim,0
2010,Goodnews River (Middle Fork),1,0,0,0,1,0,Kuskokwim,0
2011,Goodnews River (Middle Fork),1,0,0,0,1,0,Kuskokwim,1
2012,Goodnews River (Middle Fork),1,0,0,0,1,0,Kuskokwim,1
2013,Goodnews River (Middle Fork),1,0,0,0,1,0,Kuskokwim,0
2014,Goodnews River (Middle Fork),1,0,0,0,1,0,Kuskokwim,1
2015,Goodnews River (Middle Fork),1,0,0,0,1,0,Kuskokwim,1
2016,Goodnews River (Middle Fork),1,0,0,0,1,0,Kuskokwim,1
2017,Goodnews River (Middle Fork),1,0,0,0,1,0,Kuskokwim,0
2018,Goodnews River (Middle Fork),1,0,0,0,1,0,Kuskokwim,0
2019,Goodnews River (Middle Fork),1,0,0,0,1,0,Kuskokwim,0
2020,Goodnews River (Middle Fork),1,0,0,0,1,0,Kuskokwim,1
1969,Kogrukluk,0,1,0,0,1,0,Kuskokwim,0
1970,Kogrukluk,0,1,0,0,0,0,Kuskokwim,1
1971,Kogrukluk,0,1,0,0,1,0,Kuskokwim,1
1972,Kogrukluk,0,1,0,0,1,0,Kuskokwim,1
1973,Kogrukluk,0,1,0,0,1,0,Kuskokwim,1
1974,Kogrukluk,0,1,0,0,0,0,Kuskokwim,0
1975,Kogrukluk,0,1,0,0,0,0,Kuskokwim,1
1976,Kogrukluk,1,0,0,0,1,0,Kuskokwim,1
1977,Kogrukluk,1,0,0,0,0,0,Kuskokwim,1
1978,Kogrukluk,1,0,0,0,1,0,Kuskokwim,0
1979,Kogrukluk,1,0,0,0,1,0,Kuskokwim,0
1980,Kogrukluk,0,0,0,0,1,0,Kuskokwim,0
1981,Kogrukluk,1,0,0,0,1,0,Kuskokwim,0
