Management Area,Project Type,Location,Latitude,Longitude,First Year,Last Year,Number of Years,Min Count*,Max Count*,Avg Count*,,,
Kuskokwim,Aerial Survey,Bimahyook Creek,60.22389,-166.80361,1993,1993,1,0,0,0,,,
Kuskokwim,Aerial Survey,Blackwater Creek,62.95972,-154.89667,1976,1978,2,34,60,47,,,
Kuskokwim,Aerial Survey,Bonnie Creek,,,2002,2002,1,0,0,0,,,
Kuskokwim,Aerial Survey,Broken Snowshoe Creek,,,2000,2000,1,0,0,0,,,
Kuskokwim,Aerial Survey,Buckstock River,61.35710453,-159.2625666,1960,2005,3,151,939,434,,,
Kuskokwim,Aerial Survey,Can Creek,61.26222,-155.05917,1966,2001,9,4,34,13,,,
Kuskokwim,Aerial Survey,Canyon Creek,,,1987,1987,1,47,47,47,,,
Kuskokwim,Aerial Survey,Canyon Creek (Crooked Creek),60.25277,-160.26,1972,1994,12,1,282,96,,,
Kuskokwim,Aerial Survey,Cheeneetnuk River,61.81361,-156.00556,1968,2020,38,0,1565,601,,,
Kuskokwim,Aerial Survey,Chineekluk Creek,61.35805,-158.28389,1968,1997,10,2,165,39,,,
Kuskokwim,Aerial Survey,Chukowan River,60.85028,-157.85,1961,2018,22,46,3332,940,,,
Kuskokwim,Aerial Survey,Cripple Creek,59.42305,-161.83611,1987,1987,1,6,6,6,,,
Kuskokwim,Aerial Survey,Crooked Creek,61.86805,-158.11667,1975,1975,1,2,2,2,,,
Kuskokwim,Aerial Survey,Dadinowiki Creek,60.200697,-166.865012,1993,1993,1,0,0,0,,,
Kuskokwim,Aerial Survey,Daprakmiut River,60.322692,-166.089865,1993,1993,1,0,0,0,,,
Kuskokwim,Aerial Survey,Dennis Creek,63.16083,-153.53361,1976,1976,1,2,2,2,,,
Kuskokwim,Aerial Survey,Eek River,60.20389,-162.24861,1976,2014,19,1,5374,1149,,,
Kuskokwim,Aerial Survey,Eek River (Middle Fork),60.139797,-161.580487,1975,2014,8,17,3000,528,,,
Kuskokwim,Aerial Survey,Fog River,61.08,-160.67722,1983,1987,2,10,51,30,,,
Kuskokwim,Aerial Survey,Fourth of July Creek,,,2000,2005,5,15,123,71,,,
Kuskokwim,Aerial Survey,Gagaryah River,61.62083,-155.64167,1968,2019,32,19,1296,446,,,
Kuskokwim,Aerial Survey,Gemuk River,60.77555,-158.51417,1961,1974,4,5,66,32,,,
Kuskokwim,Aerial Survey,George River,61.89778,-157.71028,1960,2009,12,28,2123,805,,,
Kuskokwim,Aerial Survey,George River (East Fork),61.99472,-157.60778,1980,2008,6,27,949,313,,,
Kuskokwim,Aerial Survey,George River (North Fork),62.05,-157.58,2001,2009,3,14,30,19,,,
Kuskokwim,Aerial Survey,George River (South Fork),,,2001,2005,2,12,35,23,,,
Kuskokwim,Aerial Survey,Goodnews Lake (North Fork),59.50389,-160.52139,1984,2001,5,0,2520,504,,,
Kuskokwim,Aerial Survey,Goodnews Lakes (Middle Fork),59.40139,-160.5575,1979,1990,6,0,173,56,,,
Kuskokwim,Aerial Survey,Goodnews River (Middle Fork),59.129885,-161.464931,1969,2021,31,6,3056,1205,,,
Kuskokwim,Aerial Survey,Goodnews River (North Fork),59.10694,-161.476536,1960,2021,38,44,8133,1777,,,
Kuskokwim,Aerial Survey,Goodnews River (South Fork),59.12389,-161.47833,1976,1987,5,5,150,70,,,
Kuskokwim,Aerial Survey,Highpower Creek,63.40889,-153.12444,2001,2001,1,0,0,0,,,
Kuskokwim,Aerial Survey,Hoholitna River,61.51055,-156.98556,1975,2005,5,32,180,118,,,
Kuskokwim,Aerial Survey,Hoholitna River (South Fork),60.91,-156.24167,1975,2001,2,15,29,22,,,
Kuskokwim,Aerial Survey,Holitna River,61.6775,-157.16278,1966,2020,41,3,9404,1725,,,
Kuskokwim,Aerial Survey,Holokuk River,61.53695,-158.59417,1960,2020,40,6,1389,255,,,
Kuskokwim,Aerial Survey,Hook Creek,,,2001,2005,2,51,109,80,,,
Kuskokwim,Aerial Survey,Indian Creek (Indian River),59.29056,-161.94583,1975,1987,2,0,2,1,,,
Kuskokwim,Aerial Survey,Jacksmith Creek,59.46528,-161.74056,1987,1987,1,12,12,12,,,
Kuskokwim,Aerial Survey,Jewoak Creek,60.334455,-166.408011,1993,1993,1,0,0,0,,,
Kuskokwim,Aerial Survey,Jones Creek,,,2001,2001,1,3,3,3,,,
Kuskokwim,Aerial Survey,Jones River,62.568937,-153.56017,1977,2001,2,11,50,30,,,
Kuskokwim,Aerial Survey,Kahniruk River,60.307404,-166.616002,1993,1993,1,0,0,0,,,
Kuskokwim,Aerial Survey,Kanektok River,59.75,-161.93028,1960,2021,51,73,30272,5312,,,
Kuskokwim,Aerial Survey,Kanuktik Creek,59.87472,-160.47333,1960,2018,7,2,320,153,,,
Kuskokwim,Aerial Survey,Kasigluk River,60.84528,-161.23472,1974,1997,8,0,155,40,,,
Kuskokwim,Aerial Survey,Kinegnak River,58.81917,-161.67417,1975,1997,5,3,85,25,,,
Kuskokwim,Aerial Survey,Kipchuk River,61.05083,-159.17028,1959,2020,41,16,2483,804,,,
Kuskokwim,Aerial Survey,Kisaralik River,60.85806,-161.23694,1960,2020,43,4,7763,1048,,,
Kuskokwim,Aerial Survey,Kogrukluk River,60.84945,-157.84972,1961,2009,22,50,7952,1963,,,
Kuskokwim,Aerial Survey,Kolmakof River,61.57445,-158.88861,2001,2005,2,0,11,5,,,
Kuskokwim,Aerial Survey,Kuskokwim River (East Fork),63.10917,-154.56333,1971,1971,1,3,3,3,,,
Kuskokwim,Aerial Survey,Kuskokwim River (South Fork),63.0875,-154.63861,1971,2002,2,0,3,1,,,
Kuskokwim,Aerial Survey,Kwethluk River,60.81389,-161.44889,1960,2020,30,1,7594,1233,,,
Kuskokwim,Aerial Survey,Little Kasigluk River,,,1977,1977,1,10,10,10,,,
Kuskokwim,Aerial Survey,Little Swift Creek,,,1985,1985,1,1,1,1,,,
Kuskokwim,Aerial Survey,Little Tonzona River,62.96555,-154.16889,2000,2011,5,0,73,17,,,
Kuskokwim,Aerial Survey,Little Underhill Creek,61.24611,-154.79083,1966,1966,1,4,4,4,,,
Kuskokwim,Aerial Survey,Little Waldren,,,2000,2002,2,0,0,0,,,
Kuskokwim,Aerial Survey,Minnie Creek,,,2002,2002,1,0,0,0,,,
Kuskokwim,Aerial Survey,Moore Cr.,62.538333,-156.791667,2002,2005,2,0,1,0,,,
Kuskokwim,Aerial Survey,Nash Harbor Creek,60.19647,-166.953595,1993,1993,1,0,0,0,,,
Kuskokwim,Aerial Survey,Nixon Fork,63.035,-155.66361,1989,2001,2,13,58,35,,,
Kuskokwim,Aerial Survey,Nukluk Creek,59.71556,-160.97528,1961,1961,1,24,24,24,,,
Kuskokwim,Aerial Survey,Oskawalik River,61.74611,-158.17667,1960,2020,40,14,1470,227,,,
Kuskokwim,Aerial Survey,Oskawalik River (West Fork),61.69222,-157.87194,1975,1975,1,36,36,36,,,
Kuskokwim,Aerial Survey,Owhat River,61.59583,-159.40917,2005,2005,1,0,0,0,,,
Kuskokwim,Aerial Survey,Pitka Fork,62.9375,-154.745,1975,2020,18,0,746,209,,,
Kuskokwim,Aerial Survey,Salmon River (Aniak),61.065,-159.17944,1959,2020,48,18,4435,691,,,
Kuskokwim,Aerial Survey,Salmon River (Kuskokwim Bay),58.86222,-161.76944,1983,1996,3,0,8,3,,,
Kuskokwim,Aerial Survey,Salmon River (Pitka Fork),62.891493,-154.577036,1975,2020,40,150,2555,1123,,,
Kuskokwim,Aerial Survey,Selatna River,62.51833,-155.80056,1968,2001,4,0,50,14,,,
Kuskokwim,Aerial Survey,Sheep Creek (Pitka Fork,,,2001,2011,4,0,4,1,,,
Kuskokwim,Aerial Survey,Shotgun Creek,60.82583,-157.84361,1966,2008,8,58,2840,1001,,,
Kuskokwim,Aerial Survey,Slate Creek,60.98222,-160.01972,1983,1987,3,1,5,2,,,
Kuskokwim,Aerial Survey,Slow Fork,,,2000,2000,1,0,0,0,,,
Kuskokwim,Aerial Survey,Soda Creek,63.25805,-154.02306,1976,1976,1,34,34,34,,,
Kuskokwim,Aerial Survey,"South Fork, Unnamed Trib 1",,,2001,2001,1,35,35,35,,,
Kuskokwim,Aerial Survey,Sullivan Creek,62.80056,-154.49222,1976,2011,4,0,22,10,,,
Kuskokwim,Aerial Survey,Swift River (North Fork of),,,2001,2001,1,0,0,0,,,
Kuskokwim,Aerial Survey,Takotna River,62.96417,-155.60111,1976,2002,4,0,188,50,,,
Kuskokwim,Aerial Survey,Tatlawiksuk River,61.91917,-156.24306,1968,2005,13,0,424,230,,,
Kuskokwim,Aerial Survey,Telaquana Lake,60.95334,-153.74972,1989,2000,3,0,20,10,,,
Kuskokwim,Aerial Survey,Telaquana River,61.0675,-154.40861,2000,2000,1,10,10,10,,,
Kuskokwim,Aerial Survey,Tuluksak River,61.10222,-160.96667,1965,2013,26,1,1256,287,,,
Kuskokwim,Aerial Survey,Two Lakes,61.13333,-153.7475,2001,2001,1,0,0,0,,,
Kuskokwim,Aerial Survey,Unaluk River,58.835,-161.63083,1975,1975,1,44,44,44,,,
Kuskokwim,Aerial Survey,Unnamed Trib of Big River 1,,,2001,2001,1,21,21,21,,,
Kuskokwim,Aerial Survey,Unnamed Trib of Big River 2,,,2001,2001,1,16,16,16,,,
Kuskokwim,Aerial Survey,Unnamed Trib of Big River 3,,,2002,2002,1,0,0,0,,,
Kuskokwim,Aerial Survey,Unnamed Trib of Big River 4,62.11966667,-154.6575,2001,2001,1,3,3,3,,,
Kuskokwim,Aerial Survey,Unnamed Trib of Big River 6,,,1976,1976,1,2,2,2,,,
Kuskokwim,Aerial Survey,Unnamed Trib of Middle Fork (of Big River),,,2001,2001,1,55,55,55,,,
Kuskokwim,Aerial Survey,Unnamed Tributary (of Chineekluk Creek),61.36084,-158.17556,1975,1988,2,38,57,47,,,
Kuskokwim,Aerial Survey,Unnamed Tributary (of George River),62.05,-157.58,1975,1975,1,3,3,3,,,
Kuskokwim,Aerial Survey,Unnamed Tributary (of North Fork of Swift River),61.578168,-154.801903,1968,1968,1,8,8,8,,,
Kuskokwim,Aerial Survey,Unnamed Tributary (of Stony River),,,1966,1966,1,1,1,1,,,
Kuskokwim,Aerial Survey,Unnamed Tributary (of Swift River),,,1976,1976,1,8,8,8,,,
Kuskokwim,Aerial Survey,Unnamed Tributary of L.Tonzona,62.965,-154.123889,2000,2008,7,0,93,53,,,
Kuskokwim,Aerial Survey,Unnamed Tributary of Windy Fork,62.698056,-154.605833,2001,2011,3,0,26,17,,,
Kuskokwim,Aerial Survey,Vreeland Creek,,,2001,2005,2,38,60,49,,,
Kuskokwim,Aerial Survey,Waterboot Creek,60.90028,-158.99056,1972,1972,1,12,12,12,,,
Kuskokwim,Aerial Survey,West Fork,,,2001,2001,1,0,0,0,,,
Norton Sound/Port Clarence,Aerial Survey,Agiapuk River,65.16611,-165.68167,1997,1997,1,1,1,1,,,
Norton Sound/Port Clarence,Aerial Survey,Bonanza River,64.5375,-164.4875,1985,2016,13,1,23,4,,,
Norton Sound/Port Clarence,Aerial Survey,Boston Creek,65.02762842,-163.029759,1963,2018,39,2,519,117,,,
Norton Sound/Port Clarence,Aerial Survey,Casadepaga River,64.96786431,-164.076227,1979,2003,2,2,16,9,,,
Norton Sound/Port Clarence,Aerial Survey,Chiroskey River,63.92222222,-160.661111,1974,1977,3,2,12,7,,,
Norton Sound/Port Clarence,Aerial Survey,Cripple River,64.53973,-165.79639,2007,2009,2,1,1,1,,,
Norton Sound/Port Clarence,Aerial Survey,Egavik Creek,64.04540326,-160.9305627,1962,1986,6,2,20,9,,,
Norton Sound/Port Clarence,Aerial Survey,Eldorado River,64.5275,-164.91861,1974,2013,27,2,76,12,,,
Norton Sound/Port Clarence,Aerial Survey,Fish River,64.58639,-163.35528,1961,2015,34,1,303,60,,,
Norton Sound/Port Clarence,Aerial Survey,Flambeau River,64.47194,-164.87944,1982,2007,9,1,4,2,,,
Norton Sound/Port Clarence,Aerial Survey,Golsovia River,63.5617887,-161.0636932,1981,1982,2,1,6,3,,,
Norton Sound/Port Clarence,Aerial Survey,Inglutalik River,64.83333333,-161.8,1961,2017,18,34,3090,670,,,
Norton Sound/Port Clarence,Aerial Survey,Kachauvik River,64.602561,-163.1113203,1974,1974,1,1,1,1,,,
Norton Sound/Port Clarence,Aerial Survey,King Metolik,64.68630434,-160.2006487,1983,1983,1,4,4,4,,,
Norton Sound/Port Clarence,Aerial Survey,Kogok River,63.27270027,-162.5915495,1981,1995,5,4,116,29,,,
Norton Sound/Port Clarence,Aerial Survey,Koyuk River (East Fork),65.12374011,-161.0011121,2005,2005,1,1,1,1,,,
Norton Sound/Port Clarence,Aerial Survey,Kwiniuk River,64.69833,-162.03472,1962,2011,22,1,194,34,,,
Norton Sound/Port Clarence,Aerial Survey,Niukluk River,64.8094257,-163.4461663,1962,2013,27,1,131,24,,,
Norton Sound/Port Clarence,Aerial Survey,Nome River,64.48313,-165.30189,1960,2009,26,0,14,3,,,
Norton Sound/Port Clarence,Aerial Survey,North River,63.87611,-160.65722,1962,2011,38,1,3150,389,,,
Norton Sound/Port Clarence,Aerial Survey,Old Woman River,64.02628907,-159.8321851,1962,2013,22,25,430,195,,,
Norton Sound/Port Clarence,Aerial Survey,Ophir Creek,64.91778,-163.74389,2002,2002,1,0,0,0,,,
Norton Sound/Port Clarence,Aerial Survey,Paragon River,64.9916677,-163.1052893,1979,1982,2,1,15,8,,,
Norton Sound/Port Clarence,Aerial Survey,Penny River,64.53778,-165.74,2005,2005,1,1,1,1,,,
Norton Sound/Port Clarence,Aerial Survey,Pikmiktalik River,63.26706842,-162.6037943,1982,2005,3,2,14,9,,,
Norton Sound/Port Clarence,Aerial Survey,Pilgrim River,65.15457884,-165.2212448,1977,2003,10,3,587,107,,,
Norton Sound/Port Clarence,Aerial Survey,Salmon Lake,64.91139,-164.97917,1991,1991,1,5,5,5,,,
Norton Sound/Port Clarence,Aerial Survey,Shaktoolik River,64.37028,-161.18028,1961,2015,38,3,3131,460,,,
Norton Sound/Port Clarence,Aerial Survey,Sinuk River,64.59028,-166.2475,1980,2015,16,0,48,6,,,
Norton Sound/Port Clarence,Aerial Survey,Snake River,64.5043644,-165.4234565,1972,2011,10,1,12,3,,,
Norton Sound/Port Clarence,Aerial Survey,Solomon River,64.54694,-164.4175,1974,2014,8,1,7,2,,,
Norton Sound/Port Clarence,Aerial Survey,Tubutulik River,64.73945,-161.88806,1962,2013,35,1,1946,316,,,
Norton Sound/Port Clarence,Aerial Survey,Unalakleet River,63.87028,-160.78472,1959,2020,32,3,2954,513,,,
Norton Sound/Port Clarence,Aerial Survey,Unalakleet River (North Fork),63.98048518,-159.9756582,1962,1981,5,2,242,70,,,
Norton Sound/Port Clarence,Aerial Survey,Ungalik River,64.55861,-160.92083,1961,2013,23,2,433,106,,,
Yukon,Aerial Survey,Alatna River,66.57055,-152.62556,1960,2015,11,0,230,103,,,
Yukon,Aerial Survey,Andreafsky River,62.03055,-163.24778,1954,2020,63,150,8620,1693,,,
Yukon,Aerial Survey,Andreafsky River (East Fork),62.05778,-163.1125,2000,2020,17,84,2879,1148,,,
Yukon,Aerial Survey,Anvik River,62.68139,-160.20083,1957,2020,59,0,3979,1140,,,
Yukon,Aerial Survey,Archuelinguk River (Clearwater Creek),62.12020654,-163.7870466,1956,2011,12,0,87,22,,,
Yukon,Aerial Survey,Baker Creek,64.97166,-150.47139,1974,1974,1,0,0,0,,,
Yukon,Aerial Survey,Banner Creek,64.287852,-146.350351,1975,1975,1,0,0,0,,,
Yukon,Aerial Survey,Barton Creek,64.3525,-150.215,1983,2008,11,0,671,189,,,
Yukon,Aerial Survey,Batza Creek,65.95138,-154.42917,1975,1975,1,0,0,0,,,
Yukon,Aerial Survey,Bear Creek (Tributary Salchaket Slough),64.73410497,-147.6248467,1986,2006,3,0,6,3,,,
Yukon,Aerial Survey,Bear Creek (Y4 Below Bullfrog Island),63.64361,-159.405,1960,2012,4,0,8,2,,,
Yukon,Aerial Survey,Bearpaw River,64.09194,-150.69778,1973,2014,19,0,390,88,,,
Yukon,Aerial Survey,Beaver Creek (Downstream Beaver Village),66.21028,-147.55389,1985,2012,8,1,302,71,,,
Yukon,Aerial Survey,Beaver Creek (Tributary Anvik River),62.84334,-160.71945,1985,2013,4,29,81,57,,,
Yukon,Aerial Survey,Benchmark No 735 Slough,64.32834,-146.889601,1972,1980,8,0,0,0,,,
Yukon,Aerial Survey,Big Salt River,65.85083,-149.90667,1974,2001,2,0,3,1,,,
Yukon,Aerial Survey,Billy Creek Slough,63.697333,-144.08973,1980,1980,1,0,0,0,,,
Yukon,Aerial Survey,Birch Creek (Downstream Fort Yukon),66.27111,-145.50278,1971,1971,1,4,4,4,,,
Yukon,Aerial Survey,Birch Creek (Tributary Kantishna River),63.86667,-151.55472,1974,1974,1,0,0,0,,,
Yukon,Aerial Survey,Black River (Tributary Porcupine River),66.68366102,-144.6951157,1975,1985,2,0,0,0,,,
Yukon,Aerial Survey,Blackburn Creek,63.37416,-159.56583,1976,2012,5,0,2,0,,,
Yukon,Aerial Survey,Blue Creek,64.16889,-145.78528,1974,1976,2,0,0,0,,,
Yukon,Aerial Survey,Bluff Cabin Slough,64.14293,-145.633303,1972,1980,9,0,0,0,,,
Yukon,Aerial Survey,Bonasila River,62.53333,-160.20889,1957,2019,11,0,800,129,,,
Yukon,Aerial Survey,California Creek,,,2011,2012,2,1,20,10,,,
Yukon,Aerial Survey,Canyon Creek,63.24528,-160.69167,1985,1985,1,8,8,8,,,
Yukon,Aerial Survey,Caribou Creek (Tributary Hogatza River),66.18231,-155.44658,1997,2020,4,0,8,2,,,
Yukon,Aerial Survey,Central Creek,64.37333333,-144.955167,2001,2004,4,0,8,3,,,
Yukon,Aerial Survey,Chandalar River,66.60917,-146.00417,1974,1988,8,0,91,13,,,
Yukon,Aerial Survey,Charley River,65.3175,-142.78028,1974,2002,6,0,92,30,,,
Yukon,Aerial Survey,Chatanika River,65.08833,-149.29806,1960,2013,31,0,550,115,,,
Yukon,Aerial Survey,Chena River,64.79611,-147.91056,1954,2014,46,6,3575,1165,,,
Yukon,Aerial Survey,Chisana River,63.045,-141.85972,1975,1977,2,0,0,0,,,
Yukon,Aerial Survey,Christian River,66.66791741,-145.9389592,1985,1985,1,1,1,1,,,
Yukon,Aerial Survey,Chuilnak River (Atchuelinguk),61.96083,-162.82556,1957,2020,17,1,915,369,,,
Yukon,Aerial Survey,Clear Creek (Tributary Hogatza River),66.21803,-155.49188,2005,2018,3,0,9,3,,,
Yukon,Aerial Survey,Clear Creek (Tributary Julius Creek),64.44527,-149.10806,2000,2014,7,0,159,81,,,
Yukon,Aerial Survey,Clear Creek (Tributary Kantishna River),64.41722,-150.37556,1983,1991,6,11,90,41,,,
Yukon,Aerial Survey,Clear Creek (Tributary Tanana River),64.23366667,-146.092167,2006,2006,1,0,0,0,,,
Yukon,Aerial Survey,Clearwater Lake & Outlet,64.093139,-145.596267,1962,1980,9,0,0,0,,,
Yukon,Aerial Survey,Clearwater Lake Outlet Slough,64.10371855,-145.6033752,1972,1980,4,0,0,0,,,
Yukon,Aerial Survey,Coleen River,67.07222,-142.49528,1985,1985,1,16,16,16,,,
Yukon,Aerial Survey,Cosna River,64.86167,-151.40444,1983,1983,1,4,4,4,,,
Yukon,Aerial Survey,Dakli River,66,-156.25333,1975,2020,18,0,36,5,,,
Yukon,Aerial Survey,Delta Clearwater River,64.101835,-145.558847,1962,1995,13,0,0,0,,,
Yukon,Aerial Survey,Delta River,64.15555,-145.8575,1962,1980,11,0,0,0,,,
Yukon,Aerial Survey,Dishna River (Innokko),63.60528,-157.285,1974,1975,2,1,7,4,,,
Yukon,Aerial Survey,Dulbi River,65.448078,-156.52066,2011,2019,2,0,0,0,,,
