Management Area,Project Type,Location,Latitude,Longitude,First Year,Last Year,Number of Years,Min Count*,Max Count*,Avg Count*,,,
Kuskokwim,Escapement,George River,61.89778,-157.71028,1996,2021,26,"1,267","7,821",3480,,,
Kuskokwim,Escapement,Goodnews River (Middle Fork),59.129885,-161.464931,1981,2020,39,750,"6,814",3062,,,
Kuskokwim,Escapement,Kanektok River,59.75,-161.93028,1984,2015,20,"1,495","38,243",12781,,,
Kuskokwim,Escapement,Kogrukluk River,60.84945,-157.84972,1969,2021,52,"1,725","21,746",8400,,,
Kuskokwim,Escapement,Kuskokwim River,60.19639,-162.40944,1993,1995,3,"92,618","208,282",137115,,,
Kuskokwim,Escapement,Kuskokwim River Sonar,60.780387,-161.660204,2018,2021,4,"106,764","162,672",131186,,,
Kuskokwim,Escapement,Kwethluk River,60.81389,-161.44889,1992,2021,26,"1,716","28,801",9283,,,
Kuskokwim,Escapement,Salmon River (Aniak),61.065,-159.17944,2006,2021,13,711,"6,901",2570,,,
Kuskokwim,Escapement,Salmon River (Pitka Fork),62.891493,-154.577036,1981,2021,9,511,"8,319",4701,,,
Kuskokwim,Escapement,Takotna River,62.96417,-155.60111,1995,2021,23,21,"1,203",374,,,
Kuskokwim,Escapement,Tatlawiksuk River,61.91917,-156.24306,1998,2017,20,495,"2,860",1692,,,
Kuskokwim,Escapement,Telaquana River,61.0675,-154.40861,2010,2021,12,5,202,78,,,
Kuskokwim,Escapement,Tuluksak River,61.10222,-160.96667,1991,2017,21,198,"2,932",984,,,
Norton Sound/Port Clarence,Escapement,Bonanza River,64.5375,-164.4875,2018,2020,3,8,15,11,,,
Norton Sound/Port Clarence,Escapement,Eldorado River,64.5275,-164.91861,1995,2021,27,0,446,41,,,
Norton Sound/Port Clarence,Escapement,Fish River,64.58639,-163.35528,2014,2021,8,0,"2,299",670,,,
Norton Sound/Port Clarence,Escapement,Inglutalik River,64.83333333,-161.8,2011,2021,11,0,"3,411",1402,,,
Norton Sound/Port Clarence,Escapement,Kwiniuk River,64.69833,-162.03472,1965,2021,42,7,974,344,,,
Norton Sound/Port Clarence,Escapement,Niukluk River,64.8094257,-163.4461663,1995,2011,17,15,542,131,,,
Norton Sound/Port Clarence,Escapement,Nome River,64.48313,-165.30189,1993,2021,29,2,70,23,,,
Norton Sound/Port Clarence,Escapement,North River,63.87611,-160.65722,1972,2021,32,196,"4,185",1501,,,
Norton Sound/Port Clarence,Escapement,Nunavulnak River,63.38919823,-162.3260974,1992,1992,1,247,247,247,,,
Norton Sound/Port Clarence,Escapement,Pikmiktalik River,63.26706842,-162.6037943,1992,2005,4,155,345,250,,,
Norton Sound/Port Clarence,Escapement,Pilgrim River,65.15457884,-165.2212448,1997,2021,22,13,"1,016",205,,,
Norton Sound/Port Clarence,Escapement,Shaktoolik River,64.37028,-161.18028,1996,2021,11,354,"4,524",1675,,,
Norton Sound/Port Clarence,Escapement,Snake River,64.5043644,-165.4234565,1996,2021,26,0,61,17,,,
Norton Sound/Port Clarence,Escapement,Solomon River,64.54694,-164.4175,2015,2021,7,0,11,6,,,
Norton Sound/Port Clarence,Escapement,Unalakleet River,63.87028,-160.78472,2010,2021,12,497,"6,641",1942,,,
Norton Sound/Port Clarence,Escapement,Ungalik River,64.55861,-160.92083,2020,2021,2,135,321,228,,,
Yukon,Escapement,Andreafsky River (East Fork),62.05778,-163.1125,1986,2021,31,"1,148","8,045",3724,,,
Yukon,Escapement,Anvik River,62.68139,-160.20083,1972,1976,5,472,"1,104",720,,,
Yukon,Escapement,Beaver Creek (Downstream Beaver Village),66.21028,-147.55389,1996,2000,4,114,315,187,,,
Yukon,Escapement,Chatanika River,65.08833,-149.29806,1990,2005,9,403,"2,448",967,,,
Yukon,Escapement,Chena River,64.79611,-147.91056,1986,2021,35,502,"13,390",5349,,,
Yukon,Escapement,Eagle Sonar (Yukon/Canadian Border),64.772477,-141.043735,2005,2021,17,"30,725","84,015",56884,,,
Yukon,Escapement,Gisasa River,65.2625,-157.67944,1994,2020,27,"1,083","4,023",2128,,,
Yukon,Escapement,Goodpaster River,64.171224,-145.625755,2004,2020,17,678,"4,107",1972,,,
Yukon,Escapement,Henshaw Creek,66.55333,-152.2225,1999,2021,22,0,"2,391",874,,,
Yukon,Escapement,Kaltag River,64.33472,-158.72278,1994,2005,11,20,241,127,,,
Yukon,Escapement,Koyukuk River (South Fork),66.5825,-151.93667,1996,1999,3,30,"1,580",946,,,
Yukon,Escapement,Nulato River,64.70777,-158.13694,1994,2003,9,756,"4,766",1951,,,
Yukon,Escapement,Pilot Station Sonar,61.951371,-162.855919,1986,2021,34,0,"318,088",161591,,,
Yukon,Escapement,Salcha River,64.46694,-146.97778,1993,2021,28,"2,082","18,404",8335,,,
Yukon,Escapement,Tanana River Sonar,,,2013,2014,2,"15,502","15,502",15502,,,
Yukon,Escapement,Tozitna River,65.13695,-152.41194,2004,2009,6,494,"1,880",1052,,,
Yukon - Canada,Escapement,Big Salmon River,61.881944,-134.916666,2005,2021,16,"1,329","10,071",4828,,,
Yukon - Canada,Escapement,Blind Creek,62.177777,-133.216666,1997,2020,20,157,"1,155",589,,,
Yukon - Canada,Escapement,Klondike River,64.054166,-139.440277,2009,2021,5,406,"5,146",1677,,,
Yukon - Canada,Escapement,Pelly River,62.766666,-137.333333,2016,2021,6,"4,116","9,752",6109,,,
Yukon - Canada,Escapement,Porcupine River (Canadian Portion),67.56805,-139.83334,2014,2021,8,410,"6,337",3322,,,
Yukon - Canada,Escapement,Takhini River,60.841666,-135.183333,2017,2021,3,247,"1,872",1224,,,
Yukon - Canada,Escapement,Teslin River,60.566666,-134.9,2012,2015,4,"3,396","20,191",12753,,,
Yukon - Canada,Escapement,Whitehorse Fishway,60.716666,-135.05,1988,2021,34,216,"2,962",1137,,,
Kotzebue,Aerial Survey,Ikalukrok Creek,67.91666667,-164.666667,1981,1981,1,5,5,5,,,
Kotzebue,Aerial Survey,Kelly River,67.91889,-162.34694,1983,1991,6,1,3,1,,,
Kotzebue,Aerial Survey,Kivalina River,67.81703793,-164.6763296,1981,1984,2,1,8,4,,,
Kotzebue,Aerial Survey,Kobuk River,66.96098671,-160.4035869,1974,1996,6,0,1,0,,,
Kotzebue,Aerial Survey,Noatak River,67.00833,-162.51083,1985,1996,3,2,5,3,,,
Kotzebue,Aerial Survey,Selby Slough,66.848545,-155.685024,1984,1984,1,2,2,2,,,
Kotzebue,Aerial Survey,Squirrel River,66.975,-160.415,1969,1993,8,1,4,1,,,
Kotzebue,Aerial Survey,Tutak Creek,67.66666667,-165.333333,1984,1984,1,4,4,4,,,
Kotzebue,Aerial Survey,Tutuksuk River,67.19020793,-159.3450917,1985,1985,1,4,4,4,,,
Kotzebue,Aerial Survey,Wulik River,68.38333333,-163.8,1983,1991,3,2,15,6,,,
Kuskokwim,Aerial Survey,Aniak River,61.57583,-159.48722,1954,2020,55,21,10094,1693,,,
Kuskokwim,Aerial Survey,Arolik Lake,59.46166,-161.09833,1973,1973,1,1007,1007,1007,,,
Kuskokwim,Aerial Survey,Arolik River,59.695595,-161.87798,1961,2014,13,66,4643,1189,,,
Kuskokwim,Aerial Survey,Babel River,,,2001,2001,1,0,0,0,,,
Kuskokwim,Aerial Survey,Barnum Creek,59.25167,-161.38083,1987,1987,1,9,9,9,,,
Kuskokwim,Aerial Survey,Bear Creek,61.010758,-159.92399,1977,1987,3,0,3,1,,,
Kuskokwim,Aerial Survey,Bear Creek (Pitka Fork),62.85029744,-154.5579998,1975,2020,23,36,1381,305,,,
Kuskokwim,Aerial Survey,Big Creek (Lower),,,2002,2002,1,0,0,0,,,
Kuskokwim,Aerial Survey,Big River,62.96528,-154.87639,1971,1971,1,2,2,2,,,
Kuskokwim,Aerial Survey,Big Salmon Fork,62.95389,-153.935,1976,1977,2,46,203,124,,,
Kuskokwim,Aerial Survey,Big Waldren,,,2002,2002,1,0,0,0,,,
